from_GEOID,to_GEOID,fare,IVTT,transfer_wait_time,access_walk_time,egress_walk_time,total_time,n_transfers
12031015702,12019030500,5.25,66.665123,30,0.613639,0.677031,133.955795,2
12031015702,12019030400,5.25,69.761826,30,0.613639,1.148326,137.523788,2
12031015702,12019030304,10.5,88.689468,86.5,0.613639,0.997123,221.800217,5
12031015702,12019030600,NA,NA,NA,NA,NA,NA,NA
12031015702,12031012300,8.75,62.547504000000004,72,0.613639,0.956326,178.117462,4
12031015702,12031002901,7,36.996784,43.5,0.613639,0.89312,121.00354,3
12031015702,12031015100,7,52.35965,60,0.613639,1.191023,153.164307,3
12031015702,12031013504,7,61.490314,59,0.613639,1.44936,161.553299,3
12031015702,12031015200,3.5,26.459333,35.5,0.613639,1.205396,96.778374,1
12031015702,12031000600,3.5,18.215273,30,0.525392,0.689914,82.430573,1
12031015702,12031001000,7,25.982447,43,0.613639,0.228137,108.824219,3
12031015702,12031001100,7,28.859049,43,0.613639,0.610208,112.082893,3
12031015702,12031000700,3.5,21.294277,29.5,0.525392,0.767576,85.08725,1
12031015702,12031000800,3.5,21.117022,30,0.525392,0.529618,85.172028,1
12031015702,12031000200,7,36.910954,45,0.613639,0.499644,122.024231,3
12031015702,12031000300,7,37.646378,45,0.613639,1.420649,123.680664,3
12031015702,12031010700,8.75,69.526497,58.5,0.613639,0.798458,171.438583,4
12031015702,12031010800,NA,NA,NA,NA,NA,NA,NA
12031015702,12031010900,7,49.267097,58,0.613639,1.225817,148.106537,3
12031015702,12031011000,8.75,43.305607,58.5,0.613639,0.280586,144.699814,4
12031015702,12031011100,8.75,41.310364,71.5,0.613639,0.395723,155.819717,4
12031015702,12031011200,7,43.953426,58,0.613639,1.37154,142.938599,3
12031015702,12031011300,7,46.379242,58,0.613639,0.388936,144.38180500000001,3
12031015702,12031011400,7,60.476059,43.5,0.613639,0.605136,144.194824,3
12031015702,12031011500,7,39.436214,43.5,0.613639,1.045408,123.595268,3
12031015702,12031011600,7,36.583923,43.5,0.613639,1.309517,121.00708,3
12031015702,12031011800,7,39.94722,44.5,0.613639,0.999085,125.059944,3
12031015702,12031012100,7,40.880062,58,0.613639,1.282425,139.776123,3
12031015702,12031012400,10.5,67.856728,106.5,0.613639,0.672361,220.642715,5
12031015702,12031012500,8.75,83.295738,74,0.613639,1.482308,201.391693,4
12031015702,12031012601,8.75,76.577545,59,0.613639,0.77527,178.966446,4
12031015702,12031012602,7,58.213219,44.5,0.613639,0.097533,142.424393,3
12031015702,12031012800,7,62.90654,44.5,0.613639,0.334013,147.354187,3
12031015702,12031012900,10.5,72.514435,106.5,0.613639,0.809687,225.437759,5
12031015702,12031013000,7,42.945263,59,0.613639,0.825954,142.384857,3
12031015702,12031013100,8.75,111.004227,150,0.613639,1.008093,304.625946,4
12031015702,12031013200,7,54.84943,90,0.613639,0.370111,184.833176,3
12031015702,12031001300,7,33.065506,58.5,0.613639,0.738105,131.917236,3
12031015702,12031001500,7,34.661682,43.5,0.613639,0.477622,118.252945,3
12031015702,12031001600,7,32.576439,43.5,0.613639,0.849617,116.539696,3
12031015702,12031001200,7,29.985422,43,0.613639,0.083273,112.682335,3
12031015702,12031013402,7,50.79377,59,0.613639,1.309426,150.716827,3
12031015702,12031002200,8.75,55.51273,87.5,0.613639,0.729579,186.355942,4
12031015702,12031002300,8.75,51.641411,87.5,0.613639,0.568697,182.323746,4
12031015702,12031013902,5.25,63.578644,59.5,0.613639,1.141401,160.833679,2
12031015702,12031013904,7,67.520851,60.5,0.613639,0.157318,167.791794,3
12031015702,12031014311,7,47.382004,61.5,0.613639,1.220813,149.716446,3
12031015702,12031014800,1.75,13.376307,0,0.613639,0.558955,44.548901,0
12031015702,12031015002,7,43.848064,60,0.613639,0.815193,144.276886,3
12031015702,12031015300,1.75,7.940994,0,0.613639,1.413611,39.968246,0
12031015702,12031015400,3.5,8.079463,37,0.613639,0.684596,79.377693,1
12031015702,12031015600,1.75,2.425799,0,0.613639,1.361847,34.401287,0
12031015702,12031016300,7,32.428173,62.5,0.525392,1.267868,135.721436,3
12031015702,12031002400,8.75,81.798248,89.5,0.613639,1.136265,215.048141,4
12031015702,12031002600,7,30.515932,44.5,0.613639,0.966269,115.59584,3
12031015702,12031002701,8.75,49.870975,58.5,0.613639,1.161777,152.146378,4
12031015702,12031002702,7,34.224625,44.5,0.613639,0.703803,119.042068,3
12031015702,12031016500,3.5,15.90891,28,0.525392,0.623396,78.057701,1
12031015702,12031002801,7,33.325726,43.5,0.613639,0.269304,116.70867200000001,3
12031015702,12031002802,7,33.40115,58,0.613639,1.103112,132.117905,3
12031015702,12031002902,7,29.024149,43.5,0.613639,0.878259,113.016045,3
12031015702,12031010202,7,82.194534,44,0.613639,1.21836,167.02652,3
12031015702,12031013404,7,50.031139,59,0.613639,1.300668,149.94545,3
12031015702,12031014330,8.75,105.131828,89.5,0.613639,0.87486,238.120331,4
12031015702,12031014338,7,46.085342,61.5,0.613639,0.901099,148.100067,3
12031015702,12031002102,8.75,57.657154,87.5,0.613639,0.141131,187.911911,4
12031015702,12031002501,8.75,57.850342,74,0.613639,0.43591800000000003,174.899887,4
12031015702,12031002502,10.5,59.130959,105.5,0.613639,1.034802,211.279388,5
12031015702,12031014603,5.25,36.384106,44,0.613639,0.840812,117.838562,2
12031015702,12031014604,7,42.359421,58.5,0.613639,0.421104,140.89415,3
12031015702,12031015925,5.25,54.185787,59,0.525392,1.02952,150.740707,2
12031015702,12031016603,7,59.678917,96,0.525392,1.237782,196.442093,3
12031015702,12031016724,5.25,41.87162,66.5,0.525392,0.654427,145.551422,2
12031015702,12031016725,3.5,28.289938,33.5,0.525392,0.813578,96.128906,1
12031015702,12031016726,5.25,49.921852,66.5,0.525392,0.360269,153.30751,2
12031015702,12031012703,NA,NA,NA,NA,NA,NA,NA
12031015702,12031014001,5.25,68.500717,58.5,0.613639,0.394026,164.008377,2
12031015702,12031016808,NA,NA,NA,NA,NA,NA,NA
12031015702,12031015501,7,40.346962,58.5,0.613639,1.479692,139.940277,3
12031015702,12031002101,8.75,57.242947,74,0.613639,0.777299,174.633881,4
12031015702,12031015502,7,44.945267,57.5,0.613639,0.132838,142.191742,3
12031014205,12031016101,5.25,79.097878,38,0.06818,1.28495,153.950989,2
12031014205,12031016606,3.5,73.126266,37,0.06818,0.464855,143.159302,1
